Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Analisi Matematica 1,12/17/2025,10:15 AM,12/17/2025,1:15 PM,False,Boella Marco Ugo Claudio,T.2.3,True
Chimica Generale,12/17/2025,2:15 PM,12/17/2025,4:15 PM,False,Pigliacelli Claudia,26.1.6,True
Studio in Biblioteca,12/17/2025,4:15 PM,12/17/2025,7:15 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Geometria e Algebra Lineare,12/18/2025,4:15 PM,12/18/2025,6:15 PM,False,Gumenyuk Pavel,3.0.3,True
Chimica Generale,12/18/2025,8:15 AM,12/18/2025,10:15 AM,False,Pigliacelli Claudia,5.0.1,True
Geometria e Algebra Lineare,12/19/2025,1:15 PM,12/19/2025,3:15 PM,False,Gumenyuk Pavel,T.2.3,True
Analisi Matematica 1,12/19/2025,4:15 PM,12/19/2025,7:15 PM,False,Boella Marco Ugo Claudio,Aula - Esercitazione,True
Studio in Biblioteca,12/19/2025,9:00 AM,12/19/2025,12:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Studio in Biblioteca,12/22/2025,10:15 AM,12/22/2025,1:00 PM,False,,PoliMi · Biblioteca Campus Leonardo,True
Analisi Matematica 1,12/22/2025,8:15 AM,12/22/2025,10:15 AM,False,Boella Marco Ugo Claudio,9.0.1,True
